xi: Dimensionless distance
theta: Dimensionless pressure T
M: Dimensionless mass M


xi	theta	M
0.0034900000000000083	0.9997878253753594	1.7802589587133999e-07
0.0035000000000000083	0.9997866077463108	1.7956039115341844e-07
0.0035100000000000083	0.9997853866343781	1.8110367722655622e-07
0.0035200000000000084	0.9997841620395707	1.8265577917477507e-07
0.0035300000000000084	0.999782933961898	1.842167220818184e-07
0.0035400000000000084	0.9997817024013695	1.8578653103115052e-07
0.0035500000000000084	0.9997804673579948	1.873652311059559e-07
0.0035600000000000085	0.9997792288317832	1.8895284738913825e-07
0.0035700000000000085	0.9997779868227442	1.9054940496331985e-07
0.0035800000000000085	0.9997767413308876	1.9215492891084073e-07
0.0035900000000000085	0.9997754923562228	1.937694443137578e-07
0.0036000000000000086	0.9997742398987594	1.953929762538442e-07
0.0036100000000000086	0.9997729839585071	1.9702554981258836e-07
0.0036200000000000086	0.9997717245354756	1.9866719007119332e-07
0.0036300000000000087	0.9997704616296744	2.0031792211057588e-07
0.0036400000000000087	0.9997691952411134	2.019777710113658e-07
0.0036500000000000087	0.9997679253698022	2.0364676185390506e-07
0.0036600000000000087	0.9997666520157507	2.0532491971824706e-07
0.0036700000000000088	0.9997653751789685	2.0701226968415574e-07
0.003680000000000009	0.9997640948594655	2.0870883683110492e-07
0.003690000000000009	0.9997628110572516	2.1041464623827742e-07
0.003700000000000009	0.9997615237723366	2.1212972298456426e-07
0.003710000000000009	0.9997602330047304	2.13854092148564e-07
0.003720000000000009	0.9997589387544429	2.155877788085817e-07
0.003730000000000009	0.999757641021484	2.1733080804262844e-07
0.003740000000000009	0.9997563398058638	2.1908320492842024e-07
0.003750000000000009	0.999755035107592	2.2084499454337745e-07
0.003760000000000009	0.9997537269266789	2.226162019646239e-07
0.003770000000000009	0.9997524152631344	2.2439685226898613e-07
0.003780000000000009	0.9997511001169687	2.261869705329925e-07
0.003790000000000009	0.9997497814881917	2.2798658183287257e-07
0.003800000000000009	0.9997484593768136	2.2979571124455616e-07
0.003810000000000009	0.9997471337828445	2.3161438384367265e-07
0.003820000000000009	0.9997458047062947	2.3344262470555012e-07
0.003830000000000009	0.9997444721471742	2.352804589052146e-07
0.003840000000000009	0.9997431361054934	2.371279115173893e-07
0.0038500000000000092	0.9997417965812624	2.3898500761649376e-07
0.0038600000000000093	0.9997404535744916	2.408517722766431e-07
0.0038700000000000093	0.9997391070851912	2.4272823057164717e-07
0.0038800000000000093	0.9997377571133715	2.4461440757500987e-07
0.0038900000000000093	0.9997364036590429	2.4651032835992825e-07
0.0039000000000000094	0.9997350467222158	2.4841601799929183e-07
0.003910000000000009	0.9997336863029006	2.503315015656816e-07
0.0039200000000000085	0.9997323224011077	2.5225680413136953e-07
0.003930000000000008	0.9997309550168474	2.541919507683175e-07
0.003940000000000008	0.9997295841501304	2.5613696654817666e-07
0.003950000000000007	0.999728209800967	2.580918765422866e-07
0.003960000000000007	0.999726831969368	2.600567058216746e-07
0.0039700000000000065	0.9997254506553437	2.6203147945705473e-07
0.003980000000000006	0.9997240658589047	2.6401622251882717e-07
0.003990000000000006	0.9997226775800617	2.6601096007707743e-07
0.004000000000000005	0.9997212858188254	2.680157172015754e-07
0.004010000000000005	0.9997198905752063	2.700305189617747e-07
0.0040200000000000045	0.999718491849215	2.7205539042681193e-07
0.004030000000000004	0.9997170896408625	2.740903566655057e-07
0.004040000000000004	0.9997156839501593	2.76135442746356e-07
0.004050000000000003	0.9997142747771162	2.7819067373754334e-07
0.004060000000000003	0.9997128621217439	2.802560747069279e-07
0.0040700000000000024	0.9997114459840535	2.82331670722049e-07
0.004080000000000002	0.9997100263640556	2.8441748685012386e-07
0.004090000000000002	0.999708603261761	2.8651354815804724e-07
0.004100000000000001	0.9997071766771808	2.886198797123904e-07
0.004110000000000001	0.9997057466103257	2.9073650657940034e-07
0.00412	0.9997043130612069	2.928634538249992e-07
0.00413	0.9997028760298351	2.9500074651478326e-07
0.00414	0.9997014355162214	2.971484097140221e-07
0.004149999999999999	0.9996999915203768	2.99306468487658e-07
0.004159999999999999	0.9996985440423124	3.014749479003051e-07
0.004169999999999998	0.9996970930820392	3.036538730162485e-07
0.004179999999999998	0.9996956386395683	3.058432688994436e-07
0.0041899999999999975	0.9996941807149109	3.080431606135152e-07
0.004199999999999997	0.999692719308078	3.1025357322175683e-07
0.004209999999999997	0.9996912544190809	3.1247453178712984e-07
0.004219999999999996	0.9996897860479307	3.147060613722626e-07
0.004229999999999996	0.9996883141946387	3.169481870394499e-07
0.0042399999999999955	0.999686838859216	3.1920093385065194e-07
0.004249999999999995	0.9996853600416742	3.2146432686749365e-07
0.004259999999999995	0.9996838777420243	3.237383911512639e-07
0.004269999999999994	0.9996823919602776	3.260231517629146e-07
0.004279999999999994	0.9996809026964457	3.2831863376306e-07
0.0042899999999999935	0.9996794099505398	3.30624862211976e-07
0.004299999999999993	0.9996779137225713	3.329418621695992e-07
0.004309999999999993	0.9996764140125517	3.3526965869552606e-07
0.004319999999999992	0.9996749108204924	3.376082768490123e-07
0.004329999999999992	0.9996734041464049	3.399577416889721e-07
0.0043399999999999914	0.9996718939903008	3.42318078273977e-07
0.004349999999999991	0.9996703803521915	3.4468931166225556e-07
0.004359999999999991	0.9996688632320886	3.4707146691169213e-07
0.00436999999999999	0.9996673426300037	3.4946456907982646e-07
0.00437999999999999	0.9996658185459484	3.5186864322385264e-07
0.004389999999999989	0.9996642909799344	3.5428371440061836e-07
0.004399999999999989	0.9996627599319733	3.567098076666242e-07
0.004409999999999989	0.9996612254020768	3.591469480780228e-07
0.004419999999999988	0.9996596873902566	3.6159516069061796e-07
0.004429999999999988	0.9996581458965244	3.640544705598641e-07
0.004439999999999987	0.999656600920892	3.6652490274086517e-07
0.004449999999999987	0.9996550524633713	3.6900648228837405e-07
0.0044599999999999865	0.999653500523974	3.714992342567918e-07
0.004469999999999986	0.9996519451027119	3.7400318370016664e-07
0.004479999999999986	0.999650386199597	3.765183556721934e-07
0.004489999999999985	0.9996488238146412	3.790447752262126e-07
0.004499999999999985	0.9996472579478562	3.8158246741520963e-07
0.0045099999999999845	0.9996456885992543	3.8413145729181416e-07
0.004519999999999984	0.9996441157688472	3.866917699082991e-07
0.004529999999999984	0.9996425394566469	3.892634303165799e-07
0.004539999999999983	0.9996409596626656	3.9184646356821393e-07
0.004549999999999983	0.9996393763869152	3.9444089471439933e-07
0.0045599999999999825	0.999637789629408	3.9704674880597454e-07
0.004569999999999982	0.9996361993901558	3.996640508934174e-07
0.004579999999999982	0.999634605669171	4.0229282602684435e-07
0.004589999999999981	0.9996330084664655	4.0493309925600955e-07
0.004599999999999981	0.9996314077820517	4.075848956303043e-07
0.00460999999999998	0.9996298036159417	4.1024824019875605e-07
0.00461999999999998	0.9996281959681477	4.1292315801002775e-07
0.00462999999999998	0.999626584838682	4.156096741124169e-07
